2021-08-10 18:26:52   INFO [    TestsR:56  ] : Link was opened
2021-08-10 18:28:33   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:28:33   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:28:36   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:28:36   INFO [    TestsR:56  ] : Link was opened
2021-08-10 18:32:07   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:32:08   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:32:17   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:32:17   INFO [    TestsR:57  ] : Link was opened
2021-08-10 18:35:26   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:35:26   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:35:30   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:35:30   INFO [    TestsR:57  ] : Link was opened
2021-08-10 18:36:45   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:36:45   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:36:50   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:36:50   INFO [    TestsR:74  ] : Link was opened
2021-08-10 18:39:00   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:39:00   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:39:04   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:39:04   INFO [    TestsR:92  ] : Link was opened
2021-08-10 18:39:52   INFO [    TestsR:42  ] : Get chromeDriver
2021-08-10 18:39:52   INFO [    TestsR:45  ] : browser was opened
2021-08-10 18:39:57   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:39:57   INFO [    TestsR:92  ] : Link was opened
2021-08-10 18:48:44   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:48:44   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:48:48   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:48:48   INFO [    TestsR:75  ] : Link was opened
2021-08-10 18:48:50   INFO [WebElements:34  ] : Element was clicked: [[ChromeDriver: chrome on WINDOWS (fc41f23b2b2a9be4c3022fa4fdd9279f)] -> xpath: (//button[contains(text(),'Зарегистрироваться')])[1]]
2021-08-10 18:49:24   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:49:24   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:49:28   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:49:28   INFO [    TestsR:75  ] : Link was opened
2021-08-10 18:50:38   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:50:38   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:50:43   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:50:43   INFO [    TestsR:75  ] : Link was opened
2021-08-10 18:50:45   INFO [WebElements:34  ] : Element was clicked: [[ChromeDriver: chrome on WINDOWS (bd7da09d000519ed028e026b9071355c)] -> xpath: (//button[contains(text(),'Зарегистрироваться')])[1]]
2021-08-10 18:51:29   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:51:30   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:51:33   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:51:33   INFO [    TestsR:75  ] : Link was opened
2021-08-10 18:55:41   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 18:55:41   INFO [    TestsR:46  ] : browser was opened
2021-08-10 18:55:45   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 18:55:45   INFO [    TestsR:95  ] : Link was opened
2021-08-10 18:58:32   INFO [    TestsR:43  ] : Get chromeDriver
